site,block,plot,time_month,treatment,species,number_recovered,number_original,number_herbivorized,notes,pct_recovered,mean_1seed,sd_1seed,number_lost
mo,1,2,0.25,carpet,RUDHIR,7,20,NA,NA,0.35,2.5e-4,1.0198039027185568e-5,13
mo,1,2,0.25,carpet,CORTIN,7,20,NA,NA,0.35,2.148e-4,1.3603921003397022e-5,13
mo,1,2,0.25,carpet,TRIPER,10,20,NA,NA,0.5,2.48e-5,1.6865480854231363e-6,10
mo,1,2,0.25,sticky,TRIPER,17,20,NA,NA,0.85,2.48e-5,1.6865480854231363e-6,3
mo,1,2,0.25,sticky,ECHPAL,18,20,NA,NA,0.9,0.0045968,1.8277660924989524e-4,2
mo,1,2,0.25,carpet,DESCAN,18,20,NA,NA,0.9,0.00442,3.0210520610468724e-4,2
mo,1,2,0.25,sticky,DESCAN,19,20,NA,NA,0.95,0.00442,3.0210520610468724e-4,1
mo,1,2,0.25,sticky,CORTIN,19,20,NA,NA,0.95,2.148e-4,1.3603921003397022e-5,1
mo,1,2,0.25,sticky,LESCAP,20,20,NA,NA,1,0.00328,9.864864700316754e-5,0
mo,1,2,0.25,sticky,SCHSCO,20,20,NA,NA,1,0.0018332,1.1412351982732469e-4,0
mo,1,2,0.25,sticky,SPOHET,20,20,NA,NA,1,0.001996,8.69635939153084e-5,0
mo,1,2,0.25,sticky,RUDHIR,20,20,NA,NA,1,2.5e-4,1.0198039027185568e-5,0
mo,1,2,0.25,carpet,LESCAP,20,20,NA,NA,1,0.00328,9.864864700316754e-5,0
mo,1,2,0.25,carpet,SCHSCO,19,20,NA,NA,0.95,0.0018332,1.1412351982732469e-4,1
mo,1,2,0.25,carpet,SPOHET,19,20,NA,NA,0.95,0.001996,8.69635939153084e-5,1
mo,1,2,0.25,carpet,ECHPAL,19,20,NA,NA,0.95,0.0045968,1.8277660924989524e-4,1
mo,1,4,2,carpet,CORTIN,0,20,NA,NA,0,2.148e-4,1.3603921003397022e-5,20
mo,1,4,2,carpet,DESCAN,1,20,11,NA,0.05,0.00442,3.0210520610468724e-4,19
mo,1,4,2,sticky,DESCAN,2,20,NA,NA,0.1,0.00442,3.0210520610468724e-4,18
mo,1,4,2,sticky,SPOHET,3,20,NA,NA,0.15,0.001996,8.69635939153084e-5,17
mo,1,4,2,sticky,ECHPAL,3,20,NA,NA,0.15,0.0045968,1.8277660924989524e-4,17
mo,1,4,2,carpet,RUDHIR,3,20,1,NA,0.15,2.5e-4,1.0198039027185568e-5,17
mo,1,4,2,carpet,ECHPAL,4,20,4,NA,0.2,0.0045968,1.8277660924989524e-4,16
mo,1,4,2,carpet,SPOHET,7,20,12,NA,0.35,0.001996,8.69635939153084e-5,13
mo,1,4,2,carpet,TRIPER,8,20,1,NA,0.4,2.48e-5,1.6865480854231363e-6,12
mo,1,4,2,carpet,LESCAP,10,20,NA,NA,0.5,0.00328,9.864864700316754e-5,10
mo,1,4,2,carpet,SCHSCO,11,20,6,NA,0.55,0.0018332,1.1412351982732469e-4,9
mo,1,4,2,sticky,SCHSCO,13,20,NA,NA,0.65,0.0018332,1.1412351982732469e-4,7
mo,1,4,2,sticky,CORTIN,13,20,NA,NA,0.65,2.148e-4,1.3603921003397022e-5,7
mo,1,4,2,sticky,LESCAP,15,20,NA,NA,0.75,0.00328,9.864864700316754e-5,5
mo,1,4,2,sticky,TRIPER,15,20,NA,NA,0.75,2.48e-5,1.6865480854231363e-6,5
mo,1,4,2,sticky,RUDHIR,18,20,NA,NA,0.9,2.5e-4,1.0198039027185568e-5,2
mo,1,6,1,carpet,CORTIN,3,20,NA,NA,0.15,2.148e-4,1.3603921003397022e-5,17
mo,1,6,1,carpet,TRIPER,5,20,NA,NA,0.25,2.48e-5,1.6865480854231363e-6,15
mo,1,6,1,carpet,ECHPAL,9,20,lots of herbivory,NA,0.45,0.0045968,1.8277660924989524e-4,11
mo,1,6,1,sticky,TRIPER,10,20,NA,NA,0.5,2.48e-5,1.6865480854231363e-6,10
mo,1,6,1,carpet,RUDHIR,10,20,NA,NA,0.5,2.5e-4,1.0198039027185568e-5,10
mo,1,6,1,carpet,SPOHET,13,20,NA,NA,0.65,0.001996,8.69635939153084e-5,7
mo,1,6,1,carpet,LESCAP,14,20,NA,NA,0.7,0.00328,9.864864700316754e-5,6
mo,1,6,1,carpet,DESCAN,16,20,NA,NA,0.8,0.00442,3.0210520610468724e-4,4
mo,1,6,1,sticky,LESCAP,17,20,NA,NA,0.85,0.00328,9.864864700316754e-5,3
mo,1,6,1,carpet,SCHSCO,18,20,NA,NA,0.9,0.0018332,1.1412351982732469e-4,2
mo,1,6,1,sticky,RUDHIR,19,20,NA,NA,0.95,2.5e-4,1.0198039027185568e-5,1
mo,1,6,1,sticky,CORTIN,19,20,NA,NA,0.95,2.148e-4,1.3603921003397022e-5,1
mo,1,6,1,sticky,DESCAN,20,20,NA,NA,1,0.00442,3.0210520610468724e-4,0
mo,1,6,1,sticky,SCHSCO,20,20,NA,NA,1,0.0018332,1.1412351982732469e-4,0
mo,1,6,1,sticky,SPOHET,20,20,NA,NA,1,0.001996,8.69635939153084e-5,0
mo,1,6,1,sticky,ECHPAL,20,20,NA,NA,1,0.0045968,1.8277660924989524e-4,0
mo,1,31,1,post-sticky,ECHPAL,0,20,NA,NA,0,0.0045968,1.8277660924989524e-4,20
mo,1,31,1,post-sticky,DESCAN,1,20,NA,NA,0.05,0.00442,3.0210520610468724e-4,19
mo,1,31,1,post-sticky,SPOHET,2,20,NA,NA,0.1,0.001996,8.69635939153084e-5,18
mo,1,31,1,post-sticky,LESCAP,4,20,NA,NA,0.2,0.00328,9.864864700316754e-5,16
mo,1,31,1,post-sticky,TRIPER,8,20,NA,NA,0.4,2.48e-5,1.6865480854231363e-6,12
mo,1,31,1,post-sticky,SCHSCO,13,20,NA,NA,0.65,0.0018332,1.1412351982732469e-4,7
mo,1,31,1,post-sticky,CORTIN,13,20,NA,NA,0.65,2.148e-4,1.3603921003397022e-5,7
