site,block,time_month,treatment,family,species,number_recovered,number_original
co,1,0.25,s,fabaceae,a.fruticosa,20,20
co,1,0.25,c,fabaceae,a.fruticosa,20,20
co,2,0.25,s,fabaceae,a.fruticosa,20,20
co,2,0.25,c,fabaceae,a.fruticosa,20,20
co,3,0.25,s,fabaceae,a.fruticosa,20,20
co,3,0.25,c,fabaceae,a.fruticosa,19,20
co,4,0.25,s,fabaceae,a.fruticosa,19,20
co,4,0.25,c,fabaceae,a.fruticosa,17,20
co,5,0.25,c,fabaceae,a.fruticosa,19,20
co,5,0.25,s,fabaceae,a.fruticosa,20,20
co,6,0.25,c,fabaceae,a.fruticosa,20,20
co,6,0.25,s,fabaceae,a.fruticosa,20,20
co,7,0.25,c,fabaceae,a.fruticosa,20,20
co,7,0.25,s,fabaceae,a.fruticosa,20,20
co,8,0.25,c,fabaceae,a.fruticosa,19,20
co,8,0.25,s,fabaceae,a.fruticosa,20,20
co,9,0.25,c,fabaceae,a.fruticosa,20,20
co,9,0.25,s,fabaceae,a.fruticosa,19,20
co,10,0.25,c,fabaceae,a.fruticosa,20,20
co,10,0.25,s,fabaceae,a.fruticosa,10,20
co,1,1,c,fabaceae,a.fruticosa,20,20
co,1,1,s,fabaceae,a.fruticosa,19,20
co,2,1,c,fabaceae,a.fruticosa,18,20
co,2,1,s,fabaceae,a.fruticosa,20,20
co,3,1,c,fabaceae,a.fruticosa,20,20
co,3,1,s,fabaceae,a.fruticosa,20,20
co,4,1,c,fabaceae,a.fruticosa,18,20
co,4,1,s,fabaceae,a.fruticosa,16,20
co,5,1,c,fabaceae,a.fruticosa,16,20
co,5,1,s,fabaceae,a.fruticosa,18,20
co,6,1,c,fabaceae,a.fruticosa,17,20
co,6,1,s,fabaceae,a.fruticosa,19,20
co,7,1,c,fabaceae,a.fruticosa,20,20
co,7,1,s,fabaceae,a.fruticosa,19,20
co,8,1,c,fabaceae,a.fruticosa,19,20
co,8,1,s,fabaceae,a.fruticosa,18,20
co,9,1,c,fabaceae,a.fruticosa,17,20
co,9,1,s,fabaceae,a.fruticosa,17,20
co,10,1,c,fabaceae,a.fruticosa,19,20
co,10,1,s,fabaceae,a.fruticosa,18,20
co,1,2,c,fabaceae,a.fruticosa,16,20
co,1,2,s,fabaceae,a.fruticosa,18,20
co,2,2,c,fabaceae,a.fruticosa,17,20
co,2,2,s,fabaceae,a.fruticosa,20,20
co,3,2,c,fabaceae,a.fruticosa,18,20
co,3,2,s,fabaceae,a.fruticosa,17,20
co,4,2,c,fabaceae,a.fruticosa,17,20
co,4,2,s,fabaceae,a.fruticosa,16,20
co,5,2,c,fabaceae,a.fruticosa,16,20
co,5,2,s,fabaceae,a.fruticosa,16,20
