replicate_grams_all25,afrut,bgrac,bdact,dpurp,hannu,origi,sangu,yglau
1,0.1903,0.0136,0.3126,0.038,0.1651,0.0179,0.019,0.4876
2,0.1921,0.0152,0.2947,0.0394,0.1652,0.0187,0.02,0.5062
3,0.1967,0.0134,0.2932,0.0409,0.1561,0.0199,0.0207,0.4742
4,0.1897,0.013,0.3035,0.0404,0.1743,0.019,0.0206,0.4913
5,0.1864,0.0165,0.3114,0.0385,0.1778,0.0191,0.0201,0.5009
6,0.1973,0.0137,0.2647,0.0364,0.1603,0.0182,0.0221,0.5087
7,0.1774,0.0146,0.2865,0.0394,0.182,0.0188,0.0215,0.4894
8,0.1871,0.0138,0.3001,0.0366,0.1755,0.0191,0.0224,0.4981
9,0.1827,0.0111,0.2921,0.0389,0.1666,0.0192,0.0222,0.521
10,0.186,0.0102,0.2875,0.0377,0.1646,0.0199,0.0214,0.498
