species,lot,number_seeds,lot_mass_g,mass_per_seed_g
ECHANG,1,25,0.1212,0.004848
ECHANG,2,25,0.1152,0.004608
ECHANG,3,25,0.111,0.00444
ECHANG,4,25,0.122,0.00488
ECHANG,5,25,0.1177,0.004708
ECHANG,6,25,0.108,0.00432
ECHANG,7,25,0.1145,0.00458
ECHANG,8,25,0.1164,0.004656
ECHANG,9,25,0.1128,0.004512
ECHANG,10,25,0.1104,0.004416
SCHSCO,1,25,0.0405,0.00162
SCHSCO,2,25,0.0463,0.001852
SCHSCO,3,25,0.0442,0.001768
SCHSCO,4,25,0.0469,0.001876
SCHSCO,5,25,0.0497,0.001988
SCHSCO,6,25,0.049,0.00196
SCHSCO,7,25,0.0473,0.001892
SCHSCO,8,25,0.0474,0.001896
SCHSCO,9,25,0.0439,0.001756
SCHSCO,10,25,0.0431,0.001724
CORTIN,1,25,0.0054,0.000216
CORTIN,2,25,0.0051,0.000204
CORTIN,3,25,0.0052,0.000208
CORTIN,4,25,0.006,0.00024
CORTIN,5,25,0.0055,0.00022
CORTIN,6,25,0.0049,0.000196
CORTIN,7,25,0.0057,0.000228
CORTIN,8,25,0.0056,0.000224
CORTIN,9,25,0.0053,0.000212
CORTIN,10,25,0.005,0.0002
DESCAN,1,25,0.1183,0.004732
DESCAN,2,25,0.105,0.0042
DESCAN,3,25,0.1109,0.004436
DESCAN,4,25,0.1074,0.004296
DESCAN,5,25,0.1227,0.004908
DESCAN,6,25,0.1106,0.004424
DESCAN,7,25,0.1066,0.004264
DESCAN,8,25,0.1091,0.004364
DESCAN,9,25,0.1178,0.004712
DESCAN,10,25,0.0966,0.003864
LESCAP,1,25,0.0838,0.003352
LESCAP,2,25,0.0822,0.003288
LESCAP,3,25,0.0799,0.003196
LESCAP,4,25,0.0804,0.003216
LESCAP,5,25,0.0805,0.00322
LESCAP,6,25,0.083,0.00332
LESCAP,7,25,0.0774,0.003096
LESCAP,8,25,0.0826,0.003304
LESCAP,9,25,0.0846,0.003384
LESCAP,10,25,0.0856,0.003424
SPOHET,1,25,0.0454,0.001816
SPOHET,2,25,0.0511,0.002044
SPOHET,3,25,0.0515,0.00206
SPOHET,4,25,0.0493,0.001972
SPOHET,5,25,0.0501,0.002004
SPOHET,6,25,0.0504,0.002016
SPOHET,7,25,0.0502,0.002008
SPOHET,8,25,0.0534,0.002136
SPOHET,9,25,0.0476,0.001904
SPOHET,10,25,0.05,0.002
TRIPER,1,25,0.0006,0.000024
TRIPER,2,25,0.0006,0.000024
TRIPER,3,25,0.0006,0.000024
TRIPER,4,25,0.0006,0.000024
TRIPER,5,25,0.0006,0.000024
TRIPER,6,25,0.0006,0.000024
TRIPER,7,25,0.0006,0.000024
TRIPER,8,25,0.0007,0.000028
TRIPER,9,25,0.0007,0.000028
TRIPER,10,25,0.0006,0.000024
RATPIN,1,25,0.0068,0.000272
RATPIN,2,25,0.0064,0.000256
RATPIN,3,25,0.0063,0.000252
RATPIN,4,25,0.0061,0.000244
RATPIN,5,25,0.0062,0.000248
RATPIN,6,25,0.006,0.00024
RATPIN,7,25,0.0059,0.000236
RATPIN,8,25,0.0063,0.000252
RATPIN,9,25,0.0061,0.000244
RATPIN,10,25,0.0064,0.000256
